"ref_area.label","indicator.label","source.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label"
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2017 international $ at PPP) (%)","ILO - Modelled Estimates",,,,"2024",1.433,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2017 international $ at PPP) (%)","ILO - Modelled Estimates",,,,"2023",0.06,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2017 international $ at PPP) (%)","ILO - Modelled Estimates",,,,"2022",-0.949,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2017 international $ at PPP) (%)","ILO - Modelled Estimates",,,,"2021",-0.878,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2017 international $ at PPP) (%)","ILO - Modelled Estimates",,,,"2020",-2.896,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2017 international $ at PPP) (%)","ILO - Modelled Estimates",,,,"2019",-0.299,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2017 international $ at PPP) (%)","ILO - Modelled Estimates",,,,"2018",-5.154,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2017 international $ at PPP) (%)","ILO - Modelled Estimates",,,,"2017",-4.555,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2017 international $ at PPP) (%)","ILO - Modelled Estimates",,,,"2016",3.266,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2017 international $ at PPP) (%)","ILO - Modelled Estimates",,,,"2015",-2.056,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2017 international $ at PPP) (%)","ILO - Modelled Estimates",,,,"2014",0.156,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2015 US $) (%)","ILO - Modelled Estimates",,,,"2024",1.433,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2015 US $) (%)","ILO - Modelled Estimates",,,,"2023",0.06,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2015 US $) (%)","ILO - Modelled Estimates",,,,"2022",-0.949,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2015 US $) (%)","ILO - Modelled Estimates",,,,"2021",-0.878,
