"ref_area.label","indicator.label","source.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label"
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2017 international $ at PPP) (%)","ILO - Modelled Estimates",,,,"2022",3.36,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2017 international $ at PPP) (%)","ILO - Modelled Estimates",,,,"2021",5.33,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2017 international $ at PPP) (%)","ILO - Modelled Estimates",,,,"2020",-2.96,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2017 international $ at PPP) (%)","ILO - Modelled Estimates",,,,"2019",-0.31,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2017 international $ at PPP) (%)","ILO - Modelled Estimates",,,,"2018",-5.16,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2017 international $ at PPP) (%)","ILO - Modelled Estimates",,,,"2017",-4.54,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2017 international $ at PPP) (%)","ILO - Modelled Estimates",,,,"2016",3.28,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2017 international $ at PPP) (%)","ILO - Modelled Estimates",,,,"2015",-2.05,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2017 international $ at PPP) (%)","ILO - Modelled Estimates",,,,"2014",0.16,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2017 international $ at PPP) (%)","ILO - Modelled Estimates",,,,"2013",0.21,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2015 US $) (%)","ILO - Modelled Estimates",,,,"2022",3.36,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2015 US $) (%)","ILO - Modelled Estimates",,,,"2021",5.33,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2015 US $) (%)","ILO - Modelled Estimates",,,,"2020",-2.96,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2015 US $) (%)","ILO - Modelled Estimates",,,,"2019",-0.31,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2015 US $) (%)","ILO - Modelled Estimates",,,,"2018",-5.16,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2015 US $) (%)","ILO - Modelled Estimates",,,,"2017",-4.54,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2015 US $) (%)","ILO - Modelled Estimates",,,,"2016",3.28,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2015 US $) (%)","ILO - Modelled Estimates",,,,"2015",-2.05,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2015 US $) (%)","ILO - Modelled Estimates",,,,"2014",0.16,
"Korea, Democratic People's Republic of","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2015 US $) (%)","ILO - Modelled Estimates",,,,"2013",0.21,
"Korea, Democratic People's Republic of","SDG indicator 10.4.1 - Labour income share as a percent of GDP (%)","ILO - Modelled Estimates",,,,"2020",42.26,
"Korea, Democratic People's Republic of","SDG indicator 10.4.1 - Labour income share as a percent of GDP (%)","ILO - Modelled Estimates",,,,"2019",42.9,
"Korea, Democratic People's Republic of","SDG indicator 10.4.1 - Labour income share as a percent of GDP (%)","ILO - Modelled Estimates",,,,"2018",44.54,
"Korea, Democratic People's Republic of","SDG indicator 10.4.1 - Labour income share as a percent of GDP (%)","ILO - Modelled Estimates",,,,"2017",44.3,
"Korea, Democratic People's Republic of","SDG indicator 10.4.1 - Labour income share as a percent of GDP (%)","ILO - Modelled Estimates",,,,"2016",41.61,
"Korea, Democratic People's Republic of","SDG indicator 10.4.1 - Labour income share as a percent of GDP (%)","ILO - Modelled Estimates",,,,"2015",43.45,
"Korea, Democratic People's Republic of","SDG indicator 10.4.1 - Labour income share as a percent of GDP (%)","ILO - Modelled Estimates",,,,"2014",42.65,
"Korea, Democratic People's Republic of","SDG indicator 10.4.1 - Labour income share as a percent of GDP (%)","ILO - Modelled Estimates",,,,"2013",42.65,
"Korea, Democratic People's Republic of","Labour dependency ratio -- ILO modelled estimates, Nov. 2022","ILO - Modelled Estimates",,,,"2023",0.7,
"Korea, Democratic People's Republic of","Labour dependency ratio -- ILO modelled estimates, Nov. 2022","ILO - Modelled Estimates",,,,"2022",0.7,
"Korea, Democratic People's Republic of","Labour dependency ratio -- ILO modelled estimates, Nov. 2022","ILO - Modelled Estimates",,,,"2021",0.71,
"Korea, Democratic People's Republic of","Labour dependency ratio -- ILO modelled estimates, Nov. 2022","ILO - Modelled Estimates",,,,"2020",0.73,
"Korea, Democratic People's Republic of","Labour dependency ratio -- ILO modelled estimates, Nov. 2022","ILO - Modelled Estimates",,,,"2019",0.7,
"Korea, Democratic People's Republic of","Labour dependency ratio -- ILO modelled estimates, Nov. 2022","ILO - Modelled Estimates",,,,"2018",0.7,
"Korea, Democratic People's Republic of","Labour dependency ratio -- ILO modelled estimates, Nov. 2022","ILO - Modelled Estimates",,,,"2017",0.71,
"Korea, Democratic People's Republic of","Labour dependency ratio -- ILO modelled estimates, Nov. 2022","ILO - Modelled Estimates",,,,"2016",0.72,
"Korea, Democratic People's Republic of","Labour dependency ratio -- ILO modelled estimates, Nov. 2022","ILO - Modelled Estimates",,,,"2015",0.72,
"Korea, Democratic People's Republic of","Labour dependency ratio -- ILO modelled estimates, Nov. 2022","ILO - Modelled Estimates",,,,"2014",0.73,
"Korea, Democratic People's Republic of","Labour dependency ratio -- ILO modelled estimates, Nov. 2022","ILO - Modelled Estimates",,,,"2013",0.74,
"Korea, Democratic People's Republic of","Population by sex and age -- UN estimates and projections, July 2022 (thousands)","ILO - Modelled Estimates","Sex: Total","Age (Youth, adults): 15+",,"2023",21230.791,
"Korea, Democratic People's Republic of","Population by sex and age -- UN estimates and projections, July 2022 (thousands)","ILO - Modelled Estimates","Sex: Total","Age (Youth, adults): 15-64",,"2023",18040.968,
"Korea, Democratic People's Republic of","Population by sex and age -- UN estimates and projections, July 2022 (thousands)","ILO - Modelled Estimates","Sex: Total","Age (Youth, adults): 15-24",,"2023",3483.347,
"Korea, Democratic People's Republic of","Population by sex and age -- UN estimates and projections, July 2022 (thousands)","ILO - Modelled Estimates","Sex: Total","Age (Youth, adults): 25+",,"2023",17747.444,
"Korea, Democratic People's Republic of","Population by sex and age -- UN estimates and projections, July 2022 (thousands)","ILO - Modelled Estimates","Sex: Male","Age (Youth, adults): 15+",,"2023",10431.568,
"Korea, Democratic People's Republic of","Population by sex and age -- UN estimates and projections, July 2022 (thousands)","ILO - Modelled Estimates","Sex: Male","Age (Youth, adults): 15-64",,"2023",9099.782,
"Korea, Democratic People's Republic of","Population by sex and age -- UN estimates and projections, July 2022 (thousands)","ILO - Modelled Estimates","Sex: Male","Age (Youth, adults): 15-24",,"2023",1779.229,
"Korea, Democratic People's Republic of","Population by sex and age -- UN estimates and projections, July 2022 (thousands)","ILO - Modelled Estimates","Sex: Male","Age (Youth, adults): 25+",,"2023",8652.339,
"Korea, Democratic People's Republic of","Population by sex and age -- UN estimates and projections, July 2022 (thousands)","ILO - Modelled Estimates","Sex: Female","Age (Youth, adults): 15+",,"2023",10799.223,
"Korea, Democratic People's Republic of","Population by sex and age -- UN estimates and projections, July 2022 (thousands)","ILO - Modelled Estimates","Sex: Female","Age (Youth, adults): 15-64",,"2023",8941.186,
"Korea, Democratic People's Republic of","Population by sex and age -- UN estimates and projections, July 2022 (thousands)","ILO - Modelled Estimates","Sex: Female","Age (Youth, adults): 15-24",,"2023",1704.117,
"Korea, Democratic People's Republic of","Population by sex and age -- UN estimates and projections, July 2022 (thousands)","ILO - Modelled Estimates","Sex: Female","Age (Youth, adults): 25+",,"2023",9095.105,
"Korea, Democratic People's Republic of","Population by sex and age -- UN estimates and projections, July 2022 (thousands)","ILO - Modelled Estimates","Sex: Total","Age (Aggregate bands): Total",,"2023",26160.821,
"Korea, Democratic People's Republic of","Population by sex and age -- UN estimates and projections, July 2022 (thousands)","ILO - Modelled Estimates","Sex: Total","Age (Aggregate bands): <15",,"2023",4930.031,
"Korea, Democratic People's Republic of","Population by sex and age -- UN estimates and projections, July 2022 (thousands)","ILO - Modelled Estimates","Sex: Total","Age (Aggregate bands): 15-24",,"2023",3483.347,
"Korea, Democratic People's Republic of","Population by sex and age -- UN estimates and projections, July 2022 (thousands)","ILO - Modelled Estimates","Sex: Total","Age (Aggregate bands): 25-54",,"2023",11185.602,
"Korea, Democratic People's Republic of","Population by sex and age -- UN estimates and projections, July 2022 (thousands)","ILO - Modelled Estimates","Sex: Total","Age (Aggregate bands): 55-64",,"2023",3372.019,
"Korea, Democratic People's Republic of","Population by sex and age -- UN estimates and projections, July 2022 (thousands)","ILO - Modelled Estimates","Sex: Total","Age (Aggregate bands): 65+",,"2023",3189.823,
"Korea, Democratic People's Republic of","Population by sex and age -- UN estimates and projections, July 2022 (thousands)","ILO - Modelled Estimates","Sex: Male","Age (Aggregate bands): Total",,"2023",12960.706,
"Korea, Democratic People's Republic of","Population by sex and age -- UN estimates and projections, July 2022 (thousands)","ILO - Modelled Estimates","Sex: Male","Age (Aggregate bands): <15",,"2023",2529.137,
"Korea, Democratic People's Republic of","Population by sex and age -- UN estimates and projections, July 2022 (thousands)","ILO - Modelled Estimates","Sex: Male","Age (Aggregate bands): 15-24",,"2023",1779.229,
"Korea, Democratic People's Republic of","Population by sex and age -- UN estimates and projections, July 2022 (thousands)","ILO - Modelled Estimates","Sex: Male","Age (Aggregate bands): 25-54",,"2023",5662.489,
"Korea, Democratic People's Republic of","Population by sex and age -- UN estimates and projections, July 2022 (thousands)","ILO - Modelled Estimates","Sex: Male","Age (Aggregate bands): 55-64",,"2023",1658.063,
"Korea, Democratic People's Republic of","Population by sex and age -- UN estimates and projections, July 2022 (thousands)","ILO - Modelled Estimates","Sex: Male","Age (Aggregate bands): 65+",,"2023",1331.787,
"Korea, Democratic People's Republic of","Population by sex and age -- UN estimates and projections, July 2022 (thousands)","ILO - Modelled Estimates","Sex: Female","Age (Aggregate bands): Total",,"2023",13200.116,
"Korea, Democratic People's Republic of","Population by sex and age -- UN estimates and projections, July 2022 (thousands)","ILO - Modelled Estimates","Sex: Female","Age (Aggregate bands): <15",,"2023",2400.894,
"Korea, Democratic People's Republic of","Population by sex and age -- UN estimates and projections, July 2022 (thousands)","ILO - Modelled Estimates","Sex: Female","Age (Aggregate bands): 15-24",,"2023",1704.117,
"Korea, Democratic People's Republic of","Population by sex and age -- UN estimates and projections, July 2022 (thousands)","ILO - Modelled Estimates","Sex: Female","Age (Aggregate bands): 25-54",,"2023",5523.113,
